name,ingredients,preparation,cleaned_ingredients
Tofu Avocado Wrap (Style v26),tofu avocado tortilla wraps lettuce tomatoes olive oil pepper,"Sear tofu cubes in a pan with olive oil. Mash ripe avocado on a warm whole wheat tortilla wrap, layer with lettuce, tomatoes, and tofu, then roll tightly.",tofu avocado tortilla wraps lettuce tomatoes olive oil pepper
Greek Yogurt Parfait (Style v26),greek yogurt oats walnuts honey apple kiwi pomegranate seeds,"Layer thick Greek yogurt in a glass with rolled oats, crushed walnuts, and diced fruits. Drizzle raw honey over the top layer before serving.",greek yogurt oats walnuts honey apple kiwi pomegranate seeds
Baked Egg Cups (Style v26),eggs spinach bell peppers salt pepper cheddar cheese,"Line a muffin tin with chopped spinach and bell peppers. Crack an egg into each cup, season with salt and pepper, top with cheese, and bake at 180°C for 15 minutes.",eggs spinach bell peppers salt pepper cheddar cheese
Clear Chicken Broth (Style v26),chicken bones carrots celery onions garlic ginger peppercorns water,"Simmer chicken bones, carrots, celery, onions, and smashed ginger in a deep stockpot filled with water for 2 hours, then strain cleanly.",chicken bones carrots celery onions garlic ginger peppercorns water
Sweet Potato Soup (Style v27),sweet potatoes carrots onions vegetable broth garlic coconut milk ginger,"Sauté onions, ginger, and garlic. Add diced sweet potatoes and carrots, pour in vegetable broth, simmer until soft, blend smooth, and stir in coconut milk.",sweet potatoes carrots onions vegetable broth garlic coconut milk ginger
Barley Vegetable Risotto (Style v27),barley mushrooms peas parmesan cheese vegetable broth onions garlic butter,"Sauté garlic and onions in butter, add pearl barley, and gradually pour in warm broth while stirring. Fold in green peas, mushrooms, and parmesan.",barley mushrooms peas parmesan cheese vegetable broth onions garlic butter
Shakshuka Light (Style v27),eggs tomatoes bell peppers onions garlic cumin paprika olive oil cilantro,"Sauté onions, peppers, and garlic in olive oil. Add crushed tomatoes and spices, simmer until thick, make small wells, crack eggs inside, cover and cook until whites set.",eggs tomatoes bell peppers onions garlic cumin paprika olive oil cilantro
Grilled Chicken Avocado Salad (Style v27),chicken breast mixed greens cucumber olive oil lemon juice avocado,"Grill seasoned chicken breast and slice into thin strips. Toss mixed greens, cucumber, and avocado with olive oil and lemon, then top with chicken.",chicken breast mixed greens cucumber olive oil lemon juice avocado
Chia Seed Berry Pudding (Style v28),chia seeds almond milk vanilla extract maple syrup strawberries blueberries,"Whisk chia seeds, almond milk, and vanilla together in a jar. Let it set in the refrigerator for 4 hours, then top with fresh mixed berries.",chia seeds almond milk vanilla extract maple syrup strawberries blueberries
Low-Fat Carrot Halwa (Style v28),carrots skimmed milk dates powder cardamom powder almonds ghee,"Grate carrots and simmer in skimmed milk until fully absorbed. Sweeten naturally with dates powder and cardamom, then garnish with slivered almonds.",carrots skimmed milk dates powder cardamom powder almonds ghee
Egg White Fried Rice (Style v28),egg whites rice brown peas carrots green onions soy sauce sesame oil,"Sauté carrots, peas, and green onions in sesame oil. Push veggies aside, scramble egg whites in the pan, toss in brown rice and low-sodium soy sauce.",egg whites rice brown peas carrots green onions soy sauce sesame oil
Baked Fish Fillet (Style v28),white fish fillet garlic powder paprika lemon juice olive oil parsley,"Coat fish fillets lightly with olive oil, garlic powder, and sweet paprika. Drizzle with fresh lemon juice and bake at 180°C for 15-18 minutes.",white fish fillet garlic powder paprika lemon juice olive oil parsley
Quinoa Salad (Style v29),quinoa cucumber tomatoes olive oil lemon avocado mint,"Toss cooked quinoa with chopped cucumber, tomatoes, and diced avocado. Drizzle olive oil and fresh lemon juice, then garnish with fresh mint leaves.",quinoa cucumber tomatoes olive oil lemon avocado mint
Healthy Protein Paneer Tikka (Style v29),paneer bell peppers onions yoghurt lemon juice ginger garlic paste turmeric kasuri methi oil,Marinate cubed paneer and veggies in spiced yoghurt for 30 minutes. Thread onto skewers and grill until the edges are beautifully charred.,paneer bell peppers onions yoghurt lemon juice ginger garlic paste turmeric kasuri methi oil
Egg White Spinach Omelet (Style v29),egg whites spinach bell peppers onions mushrooms black pepper olive oil,"Whisk egg whites with pepper. Sauté chopped veggies and spinach in a pan with olive oil, pour egg whites over them, and cook until completely set.",egg whites spinach bell peppers onions mushrooms black pepper olive oil
Hyderabadi Chicken Biryani (Style v29),chicken garlic ginger yoghurt turmeric red chile powder garam masala onions ghee rice,"Marinate chicken in spiced yoghurt. Layer partially cooked basmati rice over chicken, top with caramelized onions, and dum-cook on low heat for 25 minutes.",chicken garlic ginger yoghurt turmeric red chile powder garam masala onions ghee rice
High-Fiber Chana Masala (Style v30),chickpeas tomatoes onions ginger garlic green chiles cumin coriander turmeric garam masala amchur oil,"Soak chickpeas overnight and pressure cook. Sauté onions, ginger, garlic, and spices in oil, add pureed tomatoes, and simmer with chickpeas.",chickpeas tomatoes onions ginger garlic green chiles cumin coriander turmeric garam masala amchur oil
Nutrient-Dense Oats Porridge (Style v30),oats milk banana honey chia seeds almonds cinnamon powder water,"Simmer rolled oats in milk and water until creamy. Pour into a serving bowl and top with sliced bananas, crushed almonds, and a honey drizzle.",oats milk banana honey chia seeds almonds cinnamon powder water
Boiled Egg Salad (Style v30),boiled eggs mixed greens cherry tomatoes cucumber olive oil mustard paste lemon juice,"Slice hard-boiled eggs. Toss fresh mixed greens, cherry tomatoes, and cucumber with a light dressing of olive oil, lemon, and mustard paste.",boiled eggs mixed greens cherry tomatoes cucumber olive oil mustard paste lemon juice
Classic Butter Chicken (Style v30),chicken onions butter vegetable oil garlic ginger heavy cream tomato paste canned tomatoes,"Sear spiced chicken pieces. Simmer pureed tomatoes and aromatic ginger-garlic in butter, stir in heavy cream, add chicken, and simmer for 10 minutes.",chicken onions butter vegetable oil garlic ginger heavy cream tomato paste canned tomatoes
South Indian Dosa (Style v31),rice urad dal fenugreek seeds salt water oil,"Soak grains, grind into smooth batter, and ferment overnight. Spread thinly over a blistering hot tawa and cook until golden brown and crispy.",rice urad dal fenugreek seeds salt water oil
Moong Dal Khichdi (Style v31),split green moong dal rice turmeric cumin seeds ginger ghee spinach,"Pressure cook washed dal and rice with turmeric and chopped spinach. Temper with ghee, crackled cumin seeds, and minced ginger.",split green moong dal rice turmeric cumin seeds ginger ghee spinach
Healthy Egg Bhurji (Style v31),eggs onions tomatoes green chiles turmeric coriander leaves oil,"Sauté chopped onions, green chiles, and tomatoes in oil. Pour in whisked eggs and stir continuously on medium heat to scramble gently.",eggs onions tomatoes green chiles turmeric coriander leaves oil
Baked Salmon Asparagus (Style v31),salmon fillet asparagus lemon juice olive oil garlic black pepper dill leaves,"Place salmon and trimmed asparagus on a baking sheet. Drizzle with olive oil, lemon juice, minced garlic, and dill, then bake at 200°C for 12 minutes.",salmon fillet asparagus lemon juice olive oil garlic black pepper dill leaves
Stir-Fried Broccoli Mushroom (Style v32),broccoli mushrooms garlic ginger soy sauce sesame oil sesame seeds,"Heat sesame oil in a hot wok. Sauté minced garlic and ginger, toss in broccoli florets and sliced mushrooms, and splash with soy sauce.",broccoli mushrooms garlic ginger soy sauce sesame oil sesame seeds
Palak Paneer Light (Style v32),paneer spinach tomatoes onions ginger garlic cumin powder garam masala oil,"Blanch and puree fresh spinach. Sauté onions, garlic, and tomatoes in oil, stir in the spinach green base, and fold in low-fat paneer cubes.",paneer spinach tomatoes onions ginger garlic cumin powder garam masala oil
Egg Avocado Toast (Style v32),eggs avocado whole wheat bread red pepper flakes sea salt lemon juice,"Toast bread. Mash avocado with lemon juice and salt, spread over the toast, and top with a perfectly poached egg and red pepper flakes.",eggs avocado whole wheat bread red pepper flakes sea salt lemon juice
Garlic Herb Chicken Breast (Style v32),chicken breast garlic olive oil rosemary thyme black pepper lemon zest,"Marinate chicken breasts with olive oil, minced garlic, fresh herbs, and lemon zest. Roast in a preheated oven at 190°C for 25-30 minutes.",chicken breast garlic olive oil rosemary thyme black pepper lemon zest
Tofu Avocado Wrap (Style v33),tofu avocado tortilla wraps lettuce tomatoes olive oil pepper,"Sear tofu cubes in a pan with olive oil. Mash ripe avocado on a warm whole wheat tortilla wrap, layer with lettuce, tomatoes, and tofu, then roll tightly.",tofu avocado tortilla wraps lettuce tomatoes olive oil pepper
Greek Yogurt Parfait (Style v33),greek yogurt oats walnuts honey apple kiwi pomegranate seeds,"Layer thick Greek yogurt in a glass with rolled oats, crushed walnuts, and diced fruits. Drizzle raw honey over the top layer before serving.",greek yogurt oats walnuts honey apple kiwi pomegranate seeds
Baked Egg Cups (Style v33),eggs spinach bell peppers salt pepper cheddar cheese,"Line a muffin tin with chopped spinach and bell peppers. Crack an egg into each cup, season with salt and pepper, top with cheese, and bake at 180°C for 15 minutes.",eggs spinach bell peppers salt pepper cheddar cheese
Clear Chicken Broth (Style v33),chicken bones carrots celery onions garlic ginger peppercorns water,"Simmer chicken bones, carrots, celery, onions, and smashed ginger in a deep stockpot filled with water for 2 hours, then strain cleanly.",chicken bones carrots celery onions garlic ginger peppercorns water
Sweet Potato Soup (Style v34),sweet potatoes carrots onions vegetable broth garlic coconut milk ginger,"Sauté onions, ginger, and garlic. Add diced sweet potatoes and carrots, pour in vegetable broth, simmer until soft, blend smooth, and stir in coconut milk.",sweet potatoes carrots onions vegetable broth garlic coconut milk ginger
Barley Vegetable Risotto (Style v34),barley mushrooms peas parmesan cheese vegetable broth onions garlic butter,"Sauté garlic and onions in butter, add pearl barley, and gradually pour in warm broth while stirring. Fold in green peas, mushrooms, and parmesan.",barley mushrooms peas parmesan cheese vegetable broth onions garlic butter
Shakshuka Light (Style v34),eggs tomatoes bell peppers onions garlic cumin paprika olive oil cilantro,"Sauté onions, peppers, and garlic in olive oil. Add crushed tomatoes and spices, simmer until thick, make small wells, crack eggs inside, cover and cook until whites set.",eggs tomatoes bell peppers onions garlic cumin paprika olive oil cilantro
Grilled Chicken Avocado Salad (Style v34),chicken breast mixed greens cucumber olive oil lemon juice avocado,"Grill seasoned chicken breast and slice into thin strips. Toss mixed greens, cucumber, and avocado with olive oil and lemon, then top with chicken.",chicken breast mixed greens cucumber olive oil lemon juice avocado
Chia Seed Berry Pudding (Style v35),chia seeds almond milk vanilla extract maple syrup strawberries blueberries,"Whisk chia seeds, almond milk, and vanilla together in a jar. Let it set in the refrigerator for 4 hours, then top with fresh mixed berries.",chia seeds almond milk vanilla extract maple syrup strawberries blueberries
Low-Fat Carrot Halwa (Style v35),carrots skimmed milk dates powder cardamom powder almonds ghee,"Grate carrots and simmer in skimmed milk until fully absorbed. Sweeten naturally with dates powder and cardamom, then garnish with slivered almonds.",carrots skimmed milk dates powder cardamom powder almonds ghee
Egg White Fried Rice (Style v35),egg whites rice brown peas carrots green onions soy sauce sesame oil,"Sauté carrots, peas, and green onions in sesame oil. Push veggies aside, scramble egg whites in the pan, toss in brown rice and low-sodium soy sauce.",egg whites rice brown peas carrots green onions soy sauce sesame oil
Baked Fish Fillet (Style v35),white fish fillet garlic powder paprika lemon juice olive oil parsley,"Coat fish fillets lightly with olive oil, garlic powder, and sweet paprika. Drizzle with fresh lemon juice and bake at 180°C for 15-18 minutes.",white fish fillet garlic powder paprika lemon juice olive oil parsley
Quinoa Salad (Style v36),quinoa cucumber tomatoes olive oil lemon avocado mint,"Toss cooked quinoa with chopped cucumber, tomatoes, and diced avocado. Drizzle olive oil and fresh lemon juice, then garnish with fresh mint leaves.",quinoa cucumber tomatoes olive oil lemon avocado mint
Healthy Protein Paneer Tikka (Style v36),paneer bell peppers onions yoghurt lemon juice ginger garlic paste turmeric kasuri methi oil,Marinate cubed paneer and veggies in spiced yoghurt for 30 minutes. Thread onto skewers and grill until the edges are beautifully charred.,paneer bell peppers onions yoghurt lemon juice ginger garlic paste turmeric kasuri methi oil
Egg White Spinach Omelet (Style v36),egg whites spinach bell peppers onions mushrooms black pepper olive oil,"Whisk egg whites with pepper. Sauté chopped veggies and spinach in a pan with olive oil, pour egg whites over them, and cook until completely set.",egg whites spinach bell peppers onions mushrooms black pepper olive oil
Hyderabadi Chicken Biryani (Style v36),chicken garlic ginger yoghurt turmeric red chile powder garam masala onions ghee rice,"Marinate chicken in spiced yoghurt. Layer partially cooked basmati rice over chicken, top with caramelized onions, and dum-cook on low heat for 25 minutes.",chicken garlic ginger yoghurt turmeric red chile powder garam masala onions ghee rice
High-Fiber Chana Masala (Style v37),chickpeas tomatoes onions ginger garlic green chiles cumin coriander turmeric garam masala amchur oil,"Soak chickpeas overnight and pressure cook. Sauté onions, ginger, garlic, and spices in oil, add pureed tomatoes, and simmer with chickpeas.",chickpeas tomatoes onions ginger garlic green chiles cumin coriander turmeric garam masala amchur oil
Nutrient-Dense Oats Porridge (Style v37),oats milk banana honey chia seeds almonds cinnamon powder water,"Simmer rolled oats in milk and water until creamy. Pour into a serving bowl and top with sliced bananas, crushed almonds, and a honey drizzle.",oats milk banana honey chia seeds almonds cinnamon powder water
Boiled Egg Salad (Style v37),boiled eggs mixed greens cherry tomatoes cucumber olive oil mustard paste lemon juice,"Slice hard-boiled eggs. Toss fresh mixed greens, cherry tomatoes, and cucumber with a light dressing of olive oil, lemon, and mustard paste.",boiled eggs mixed greens cherry tomatoes cucumber olive oil mustard paste lemon juice
Classic Butter Chicken (Style v37),chicken onions butter vegetable oil garlic ginger heavy cream tomato paste canned tomatoes,"Sear spiced chicken pieces. Simmer pureed tomatoes and aromatic ginger-garlic in butter, stir in heavy cream, add chicken, and simmer for 10 minutes.",chicken onions butter vegetable oil garlic ginger heavy cream tomato paste canned tomatoes
South Indian Dosa (Style v38),rice urad dal fenugreek seeds salt water oil,"Soak grains, grind into smooth batter, and ferment overnight. Spread thinly over a blistering hot tawa and cook until golden brown and crispy.",rice urad dal fenugreek seeds salt water oil
Moong Dal Khichdi (Style v38),split green moong dal rice turmeric cumin seeds ginger ghee spinach,"Pressure cook washed dal and rice with turmeric and chopped spinach. Temper with ghee, crackled cumin seeds, and minced ginger.",split green moong dal rice turmeric cumin seeds ginger ghee spinach
Healthy Egg Bhurji (Style v38),eggs onions tomatoes green chiles turmeric coriander leaves oil,"Sauté chopped onions, green chiles, and tomatoes in oil. Pour in whisked eggs and stir continuously on medium heat to scramble gently.",eggs onions tomatoes green chiles turmeric coriander leaves oil
Baked Salmon Asparagus (Style v38),salmon fillet asparagus lemon juice olive oil garlic black pepper dill leaves,"Place salmon and trimmed asparagus on a baking sheet. Drizzle with olive oil, lemon juice, minced garlic, and dill, then bake at 200°C for 12 minutes.",salmon fillet asparagus lemon juice olive oil garlic black pepper dill leaves
Stir-Fried Broccoli Mushroom (Style v39),broccoli mushrooms garlic ginger soy sauce sesame oil sesame seeds,"Heat sesame oil in a hot wok. Sauté minced garlic and ginger, toss in broccoli florets and sliced mushrooms, and splash with soy sauce.",broccoli mushrooms garlic ginger soy sauce sesame oil sesame seeds
Palak Paneer Light (Style v39),paneer spinach tomatoes onions ginger garlic cumin powder garam masala oil,"Blanch and puree fresh spinach. Sauté onions, garlic, and tomatoes in oil, stir in the spinach green base, and fold in low-fat paneer cubes.",paneer spinach tomatoes onions ginger garlic cumin powder garam masala oil
Egg Avocado Toast (Style v39),eggs avocado whole wheat bread red pepper flakes sea salt lemon juice,"Toast bread. Mash avocado with lemon juice and salt, spread over the toast, and top with a perfectly poached egg and red pepper flakes.",eggs avocado whole wheat bread red pepper flakes sea salt lemon juice
Garlic Herb Chicken Breast (Style v39),chicken breast garlic olive oil rosemary thyme black pepper lemon zest,"Marinate chicken breasts with olive oil, minced garlic, fresh herbs, and lemon zest. Roast in a preheated oven at 190°C for 25-30 minutes.",chicken breast garlic olive oil rosemary thyme black pepper lemon zest
Tofu Avocado Wrap (Style v40),tofu avocado tortilla wraps lettuce tomatoes olive oil pepper,"Sear tofu cubes in a pan with olive oil. Mash ripe avocado on a warm whole wheat tortilla wrap, layer with lettuce, tomatoes, and tofu, then roll tightly.",tofu avocado tortilla wraps lettuce tomatoes olive oil pepper
Greek Yogurt Parfait (Style v40),greek yogurt oats walnuts honey apple kiwi pomegranate seeds,"Layer thick Greek yogurt in a glass with rolled oats, crushed walnuts, and diced fruits. Drizzle raw honey over the top layer before serving.",greek yogurt oats walnuts honey apple kiwi pomegranate seeds
Baked Egg Cups (Style v40),eggs spinach bell peppers salt pepper cheddar cheese,"Line a muffin tin with chopped spinach and bell peppers. Crack an egg into each cup, season with salt and pepper, top with cheese, and bake at 180°C for 15 minutes.",eggs spinach bell peppers salt pepper cheddar cheese
Clear Chicken Broth (Style v40),chicken bones carrots celery onions garlic ginger peppercorns water,"Simmer chicken bones, carrots, celery, onions, and smashed ginger in a deep stockpot filled with water for 2 hours, then strain cleanly.",chicken bones carrots celery onions garlic ginger peppercorns water
Sweet Potato Soup (Style v41),sweet potatoes carrots onions vegetable broth garlic coconut milk ginger,"Sauté onions, ginger, and garlic. Add diced sweet potatoes and carrots, pour in vegetable broth, simmer until soft, blend smooth, and stir in coconut milk.",sweet potatoes carrots onions vegetable broth garlic coconut milk ginger
Barley Vegetable Risotto (Style v41),barley mushrooms peas parmesan cheese vegetable broth onions garlic butter,"Sauté garlic and onions in butter, add pearl barley, and gradually pour in warm broth while stirring. Fold in green peas, mushrooms, and parmesan.",barley mushrooms peas parmesan cheese vegetable broth onions garlic butter
Shakshuka Light (Style v41),eggs tomatoes bell peppers onions garlic cumin paprika olive oil cilantro,"Sauté onions, peppers, and garlic in olive oil. Add crushed tomatoes and spices, simmer until thick, make small wells, crack eggs inside, cover and cook until whites set.",eggs tomatoes bell peppers onions garlic cumin paprika olive oil cilantro
Grilled Chicken Avocado Salad (Style v41),chicken breast mixed greens cucumber olive oil lemon juice avocado,"Grill seasoned chicken breast and slice into thin strips. Toss mixed greens, cucumber, and avocado with olive oil and lemon, then top with chicken.",chicken breast mixed greens cucumber olive oil lemon juice avocado
Chia Seed Berry Pudding (Style v42),chia seeds almond milk vanilla extract maple syrup strawberries blueberries,"Whisk chia seeds, almond milk, and vanilla together in a jar. Let it set in the refrigerator for 4 hours, then top with fresh mixed berries.",chia seeds almond milk vanilla extract maple syrup strawberries blueberries
Low-Fat Carrot Halwa (Style v42),carrots skimmed milk dates powder cardamom powder almonds ghee,"Grate carrots and simmer in skimmed milk until fully absorbed. Sweeten naturally with dates powder and cardamom, then garnish with slivered almonds.",carrots skimmed milk dates powder cardamom powder almonds ghee
Egg White Fried Rice (Style v42),egg whites rice brown peas carrots green onions soy sauce sesame oil,"Sauté carrots, peas, and green onions in sesame oil. Push veggies aside, scramble egg whites in the pan, toss in brown rice and low-sodium soy sauce.",egg whites rice brown peas carrots green onions soy sauce sesame oil
Baked Fish Fillet (Style v42),white fish fillet garlic powder paprika lemon juice olive oil parsley,"Coat fish fillets lightly with olive oil, garlic powder, and sweet paprika. Drizzle with fresh lemon juice and bake at 180°C for 15-18 minutes.",white fish fillet garlic powder paprika lemon juice olive oil parsley
Quinoa Salad (Style v43),quinoa cucumber tomatoes olive oil lemon avocado mint,"Toss cooked quinoa with chopped cucumber, tomatoes, and diced avocado. Drizzle olive oil and fresh lemon juice, then garnish with fresh mint leaves.",quinoa cucumber tomatoes olive oil lemon avocado mint
Healthy Protein Paneer Tikka (Style v43),paneer bell peppers onions yoghurt lemon juice ginger garlic paste turmeric kasuri methi oil,Marinate cubed paneer and veggies in spiced yoghurt for 30 minutes. Thread onto skewers and grill until the edges are beautifully charred.,paneer bell peppers onions yoghurt lemon juice ginger garlic paste turmeric kasuri methi oil
Egg White Spinach Omelet (Style v43),egg whites spinach bell peppers onions mushrooms black pepper olive oil,"Whisk egg whites with pepper. Sauté chopped veggies and spinach in a pan with olive oil, pour egg whites over them, and cook until completely set.",egg whites spinach bell peppers onions mushrooms black pepper olive oil
Hyderabadi Chicken Biryani (Style v43),chicken garlic ginger yoghurt turmeric red chile powder garam masala onions ghee rice,"Marinate chicken in spiced yoghurt. Layer partially cooked basmati rice over chicken, top with caramelized onions, and dum-cook on low heat for 25 minutes.",chicken garlic ginger yoghurt turmeric red chile powder garam masala onions ghee rice
High-Fiber Chana Masala (Style v44),chickpeas tomatoes onions ginger garlic green chiles cumin coriander turmeric garam masala amchur oil,"Soak chickpeas overnight and pressure cook. Sauté onions, ginger, garlic, and spices in oil, add pureed tomatoes, and simmer with chickpeas.",chickpeas tomatoes onions ginger garlic green chiles cumin coriander turmeric garam masala amchur oil
Nutrient-Dense Oats Porridge (Style v44),oats milk banana honey chia seeds almonds cinnamon powder water,"Simmer rolled oats in milk and water until creamy. Pour into a serving bowl and top with sliced bananas, crushed almonds, and a honey drizzle.",oats milk banana honey chia seeds almonds cinnamon powder water
Boiled Egg Salad (Style v44),boiled eggs mixed greens cherry tomatoes cucumber olive oil mustard paste lemon juice,"Slice hard-boiled eggs. Toss fresh mixed greens, cherry tomatoes, and cucumber with a light dressing of olive oil, lemon, and mustard paste.",boiled eggs mixed greens cherry tomatoes cucumber olive oil mustard paste lemon juice
Classic Butter Chicken (Style v44),chicken onions butter vegetable oil garlic ginger heavy cream tomato paste canned tomatoes,"Sear spiced chicken pieces. Simmer pureed tomatoes and aromatic ginger-garlic in butter, stir in heavy cream, add chicken, and simmer for 10 minutes.",chicken onions butter vegetable oil garlic ginger heavy cream tomato paste canned tomatoes
South Indian Dosa (Style v45),rice urad dal fenugreek seeds salt water oil,"Soak grains, grind into smooth batter, and ferment overnight. Spread thinly over a blistering hot tawa and cook until golden brown and crispy.",rice urad dal fenugreek seeds salt water oil
Moong Dal Khichdi (Style v45),split green moong dal rice turmeric cumin seeds ginger ghee spinach,"Pressure cook washed dal and rice with turmeric and chopped spinach. Temper with ghee, crackled cumin seeds, and minced ginger.",split green moong dal rice turmeric cumin seeds ginger ghee spinach
Healthy Egg Bhurji (Style v45),eggs onions tomatoes green chiles turmeric coriander leaves oil,"Sauté chopped onions, green chiles, and tomatoes in oil. Pour in whisked eggs and stir continuously on medium heat to scramble gently.",eggs onions tomatoes green chiles turmeric coriander leaves oil
Baked Salmon Asparagus (Style v45),salmon fillet asparagus lemon juice olive oil garlic black pepper dill leaves,"Place salmon and trimmed asparagus on a baking sheet. Drizzle with olive oil, lemon juice, minced garlic, and dill, then bake at 200°C for 12 minutes.",salmon fillet asparagus lemon juice olive oil garlic black pepper dill leaves
Stir-Fried Broccoli Mushroom (Style v46),broccoli mushrooms garlic ginger soy sauce sesame oil sesame seeds,"Heat sesame oil in a hot wok. Sauté minced garlic and ginger, toss in broccoli florets and sliced mushrooms, and splash with soy sauce.",broccoli mushrooms garlic ginger soy sauce sesame oil sesame seeds
Palak Paneer Light (Style v46),paneer spinach tomatoes onions ginger garlic cumin powder garam masala oil,"Blanch and puree fresh spinach. Sauté onions, garlic, and tomatoes in oil, stir in the spinach green base, and fold in low-fat paneer cubes.",paneer spinach tomatoes onions ginger garlic cumin powder garam masala oil
Egg Avocado Toast (Style v46),eggs avocado whole wheat bread red pepper flakes sea salt lemon juice,"Toast bread. Mash avocado with lemon juice and salt, spread over the toast, and top with a perfectly poached egg and red pepper flakes.",eggs avocado whole wheat bread red pepper flakes sea salt lemon juice
Garlic Herb Chicken Breast (Style v46),chicken breast garlic olive oil rosemary thyme black pepper lemon zest,"Marinate chicken breasts with olive oil, minced garlic, fresh herbs, and lemon zest. Roast in a preheated oven at 190°C for 25-30 minutes.",chicken breast garlic olive oil rosemary thyme black pepper lemon zest
Tofu Avocado Wrap (Style v47),tofu avocado tortilla wraps lettuce tomatoes olive oil pepper,"Sear tofu cubes in a pan with olive oil. Mash ripe avocado on a warm whole wheat tortilla wrap, layer with lettuce, tomatoes, and tofu, then roll tightly.",tofu avocado tortilla wraps lettuce tomatoes olive oil pepper
Greek Yogurt Parfait (Style v47),greek yogurt oats walnuts honey apple kiwi pomegranate seeds,"Layer thick Greek yogurt in a glass with rolled oats, crushed walnuts, and diced fruits. Drizzle raw honey over the top layer before serving.",greek yogurt oats walnuts honey apple kiwi pomegranate seeds
Baked Egg Cups (Style v47),eggs spinach bell peppers salt pepper cheddar cheese,"Line a muffin tin with chopped spinach and bell peppers. Crack an egg into each cup, season with salt and pepper, top with cheese, and bake at 180°C for 15 minutes.",eggs spinach bell peppers salt pepper cheddar cheese
Clear Chicken Broth (Style v47),chicken bones carrots celery onions garlic ginger peppercorns water,"Simmer chicken bones, carrots, celery, onions, and smashed ginger in a deep stockpot filled with water for 2 hours, then strain cleanly.",chicken bones carrots celery onions garlic ginger peppercorns water
Sweet Potato Soup (Style v48),sweet potatoes carrots onions vegetable broth garlic coconut milk ginger,"Sauté onions, ginger, and garlic. Add diced sweet potatoes and carrots, pour in vegetable broth, simmer until soft, blend smooth, and stir in coconut milk.",sweet potatoes carrots onions vegetable broth garlic coconut milk ginger
Barley Vegetable Risotto (Style v48),barley mushrooms peas parmesan cheese vegetable broth onions garlic butter,"Sauté garlic and onions in butter, add pearl barley, and gradually pour in warm broth while stirring. Fold in green peas, mushrooms, and parmesan.",barley mushrooms peas parmesan cheese vegetable broth onions garlic butter
Shakshuka Light (Style v48),eggs tomatoes bell peppers onions garlic cumin paprika olive oil cilantro,"Sauté onions, peppers, and garlic in olive oil. Add crushed tomatoes and spices, simmer until thick, make small wells, crack eggs inside, cover and cook until whites set.",eggs tomatoes bell peppers onions garlic cumin paprika olive oil cilantro
Grilled Chicken Avocado Salad (Style v48),chicken breast mixed greens cucumber olive oil lemon juice avocado,"Grill seasoned chicken breast and slice into thin strips. Toss mixed greens, cucumber, and avocado with olive oil and lemon, then top with chicken.",chicken breast mixed greens cucumber olive oil lemon juice avocado
Chia Seed Berry Pudding (Style v49),chia seeds almond milk vanilla extract maple syrup strawberries blueberries,"Whisk chia seeds, almond milk, and vanilla together in a jar. Let it set in the refrigerator for 4 hours, then top with fresh mixed berries.",chia seeds almond milk vanilla extract maple syrup strawberries blueberries
Low-Fat Carrot Halwa (Style v49),carrots skimmed milk dates powder cardamom powder almonds ghee,"Grate carrots and simmer in skimmed milk until fully absorbed. Sweeten naturally with dates powder and cardamom, then garnish with slivered almonds.",carrots skimmed milk dates powder cardamom powder almonds ghee
Egg White Fried Rice (Style v49),egg whites rice brown peas carrots green onions soy sauce sesame oil,"Sauté carrots, peas, and green onions in sesame oil. Push veggies aside, scramble egg whites in the pan, toss in brown rice and low-sodium soy sauce.",egg whites rice brown peas carrots green onions soy sauce sesame oil
Baked Fish Fillet (Style v49),white fish fillet garlic powder paprika lemon juice olive oil parsley,"Coat fish fillets lightly with olive oil, garlic powder, and sweet paprika. Drizzle with fresh lemon juice and bake at 180°C for 15-18 minutes.",white fish fillet garlic powder paprika lemon juice olive oil parsley
Quinoa Salad (Style v50),quinoa cucumber tomatoes olive oil lemon avocado mint,"Toss cooked quinoa with chopped cucumber, tomatoes, and diced avocado. Drizzle olive oil and fresh lemon juice, then garnish with fresh mint leaves.",quinoa cucumber tomatoes olive oil lemon avocado mint
Healthy Protein Paneer Tikka (Style v50),paneer bell peppers onions yoghurt lemon juice ginger garlic paste turmeric kasuri methi oil,Marinate cubed paneer and veggies in spiced yoghurt for 30 minutes. Thread onto skewers and grill until the edges are beautifully charred.,paneer bell peppers onions yoghurt lemon juice ginger garlic paste turmeric kasuri methi oil
Egg White Spinach Omelet (Style v50),egg whites spinach bell peppers onions mushrooms black pepper olive oil,"Whisk egg whites with pepper. Sauté chopped veggies and spinach in a pan with olive oil, pour egg whites over them, and cook until completely set.",egg whites spinach bell peppers onions mushrooms black pepper olive oil
Hyderabadi Chicken Biryani (Style v50),chicken garlic ginger yoghurt turmeric red chile powder garam masala onions ghee rice,"Marinate chicken in spiced yoghurt. Layer partially cooked basmati rice over chicken, top with caramelized onions, and dum-cook on low heat for 25 minutes.",chicken garlic ginger yoghurt turmeric red chile powder garam masala onions ghee rice
